"도시별","품목성질별",2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"안양시","공공서비스",89.967,93.064,95.479,96.680,95.367,96.045,96.554,96.975,98.574,100.429,101.601,101.675,101.378,100.00,100.72,101.46,102.46,104.55
"안양시","개인서비스",75.680,78.623,80.751,82.090,85.757,86.543,87.710,89.118,90.314,92.261,94.567,96.865,98.684,100.00,102.78,108.03,114.74,118.16
"부천시","총지수",78.411,82.060,84.252,86.750,89.982,91.831,92.962,93.988,94.572,95.525,97.668,98.881,99.400,100.00,102.34,107.49,111.32,114.03
"부천시","상품",75.830,80.400,83.204,87.436,92.500,95.328,96.459,97.349,96.702,96.186,98.230,99.341,99.163,100.00,102.86,109.75,114.05,116.96
"부천시","농축수산물",62.072,62.241,65.822,73.217,80.709,82.631,82.777,80.015,81.589,85.031,90.694,93.745,93.598,100.00,107.24,111.99,114.70,121.99
"부천시","공업제품",78.002,83.934,86.368,89.362,93.845,96.555,97.295,98.686,98.471,98.094,99.554,100.670,100.296,100.00,102.33,109.26,112.18,113.93
"부천시","전기 · 가스 · 수도",-,-,-,102.769,107.220,112.742,118.800,123.042,114.739,104.022,102.726,99.688,101.156,100.00,97.91,109.51,130.46,135.74
"부천시","서비스",80.054,83.106,84.885,86.249,88.124,89.230,90.356,91.482,92.961,95.015,97.236,98.530,99.585,100.00,101.92,105.66,109.15,111.70
"부천시","집세",77.531,78.658,80.409,81.893,84.773,88.732,90.492,92.220,94.341,95.638,98.710,99.451,99.660,100.00,101.31,102.64,103.18,103.85
"부천시","공공서비스",90.919,93.412,95.338,96.670,95.744,96.509,96.758,97.234,98.825,100.759,101.645,101.531,101.329,100.00,100.78,101.48,102.44,103.89
"부천시","개인서비스",76.640,80.463,82.216,83.523,86.085,86.467,87.721,88.905,90.144,92.481,94.984,97.021,98.851,100.00,102.60,108.40,113.80,117.40
"고양시","총지수",78.200,82.060,84.475,86.892,90.165,91.765,92.751,93.812,94.586,95.577,97.798,99.169,99.274,100.00,102.58,107.60,111.42,114.06
"고양시","상품",77.909,82.551,85.660,89.238,94.258,96.743,97.523,98.504,97.601,97.062,99.123,100.265,99.006,100.00,103.38,109.95,114.11,116.91
"고양시","농축수산물",66.461,66.494,72.313,79.230,86.948,87.139,85.703,84.043,85.645,89.603,95.700,97.764,92.837,100.00,109.88,112.63,115.27,121.46
"고양시","공업제품",79.575,85.640,87.760,90.153,94.593,97.224,97.993,99.188,98.529,98.017,99.504,100.910,100.184,100.00,102.42,109.37,112.03,113.81
"고양시","전기 · 가스 · 수도",-,-,-,103.233,107.679,113.238,118.245,122.505,115.109,104.514,102.726,99.686,101.153,100.00,97.91,109.51,131.29,137.20
"고양시","서비스",78.144,81.476,83.439,85.118,87.139,88.117,89.251,90.367,92.331,94.454,96.787,98.340,99.479,100.00,101.94,105.72,109.27,111.79
"고양시","집세",75.668,78.122,79.895,81.531,83.807,86.442,88.100,90.199,93.480,96.032,98.566,100.173,100.195,100.00,101.31,104.48,105.08,104.88
"고양시","공공서비스",88.013,90.837,92.845,94.324,94.104,95.285,95.781,96.420,98.310,100.223,101.434,101.430,101.260,100.00,100.80,101.57,102.88,104.46
"고양시","개인서비스",75.094,78.885,80.873,82.636,85.376,85.784,86.989,87.974,89.552,91.628,94.351,96.517,98.537,100.00,102.62,107.84,113.18,116.93
"안산시","총지수",77.999,81.728,84.045,86.343,89.862,91.804,92.875,94.190,94.962,96.003,97.726,99.081,99.673,100.00,102.54,107.61,111.64,114.58
"안산시","상품",77.001,81.791,84.272,87.918,93.281,95.784,96.865,97.780,97.159,96.662,98.302,99.671,99.662,100.00,103.24,109.82,114.18,116.93
"안산시","농축수산물",64.216,64.272,67.730,73.583,83.437,84.217,85.097,82.439,84.270,87.964,92.190,96.426,96.747,100.00,109.37,113.82,116.70,123.13
"안산시","공업제품",78.673,84.931,86.989,89.747,94.017,96.575,97.192,98.567,98.282,97.893,99.263,100.446,100.189,100.00,102.36,108.92,111.76,113.46
"안산시","전기 · 가스 · 수도",-,-,-,103.749,108.242,113.814,118.843,123.126,115.250,104.514,102.733,99.693,101.156,100.00,97.91,109.51,131.69,137.27
"안산시","서비스",78.509,81.538,83.736,85.177,87.334,88.861,89.921,91.529,93.303,95.496,97.283,98.622,99.680,100.00,101.98,105.83,109.61,112.69
"안산시","집세",79.184,81.706,83.301,84.027,87.178,91.419,94.262,95.883,98.674,100.803,102.400,102.562,101.521,100.00,101.26,103.49,104.77,105.17
"안산시","공공서비스",90.934,93.889,95.806,96.998,95.648,96.594,97.075,97.551,98.979,100.706,101.115,101.210,100.915,100.00,101.25,102.59,103.72,104.95
"안산시","개인서비스",73.641,76.837,79.313,80.993,84.084,85.022,85.769,87.792,89.387,91.789,94.188,96.391,98.629,100.00,102.53,107.95,113.52,118.15
"용인시","총지수",-,-,-,-,-,-,-,-,94.858,95.861,97.659,99.297,99.455,100.00,102.86,108.00,111.42,113.89
"용인시","상품",-,-,-,-,-,-,-,-,96.802,96.155,97.888,99.458,99.001,100.00,103.58,110.34,114.48,116.83
"용인시","농축수산물",-,-,-,-,-,-,-,-,83.388,86.349,90.893,94.945,92.345,100.00,111.74,115.89,117.34,122.47
"용인시","공업제품",-,-,-,-,-,-,-,-,98.041,97.635,99.043,100.533,100.376,100.00,102.25,109.13,112.02,113.60
"용인시","전기 · 가스 · 수도",-,-,-,-,-,-,-,-,115.325,104.523,102.733,99.691,101.156,100.00,97.91,109.51,131.07,135.42
"용인시","서비스",-,-,-,-,-,-,-,-,93.382,95.632,97.477,99.170,99.806,100.00,102.29,106.12,109.00,111.57
"용인시","집세",-,-,-,-,-,-,-,-,96.618,98.805,100.357,100.583,99.967,100.00,102.54,105.72,105.71,106.43
"용인시","공공서비스",-,-,-,-,-,-,-,-,99.627,101.019,101.549,101.629,101.391,100.00,100.70,101.47,102.33,103.57
"용인시","개인서비스",-,-,-,-,-,-,-,-,89.854,92.467,94.932,97.733,99.114,100.00,102.86,108.15,112.71,116.37
"화성시","총지수",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,102.50,107.74,111.50,113.86
"화성시","상품",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,103.27,109.96,114.33,116.61
"화성시","농축수산물",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,109.36,112.60,115.22,119.67
"화성시","공업제품",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,102.39,109.39,112.35,113.97
"화성시","전기 · 가스 · 수도",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,97.91,109.51,131.07,135.48
"화성시","서비스",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,101.89,105.96,109.26,111.67
"화성시","집세",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,101.13,104.39,104.32,104.36
"화성시","공공서비스",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,101.27,102.16,103.07,104.03
"화성시","개인서비스",-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,102.40,108.04,113.32,117.03
